Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_onlineHCMUE,Chrome 96.0.4664.45,,,2021-11-26 14:58:26,2021-11-26 15:00:55,"2m - 28,200s",FAILED
,,,,,,,
Test Cases/SP_Login_NoInput,Chrome 96.0.4664.45,,,2021-11-26 14:58:47,2021-11-26 14:58:52,"5,658s",FAILED
"openBrowser("""")",Chrome 96.0.4664.45,,,2021-11-26 14:58:47,2021-11-26 14:58:49,"2,614s",PASSED
"navigateToUrl(""https://online.hcmue.edu.vn/"")",Chrome 96.0.4664.45,,,2021-11-26 14:58:49,2021-11-26 14:58:50,"0,868s",PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/a_ng nhp""))",Chrome 96.0.4664.45,,,2021-11-26 14:58:50,2021-11-26 14:58:51,"0,973s",PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_S lng truy cp_ctl00ContentPlaceHolder_02f130""))",Chrome 96.0.4664.45,,,2021-11-26 14:58:51,2021-11-26 14:58:52,"0,522s",PASSED
"verifyTextPresent(""""Tên đăng nhập không tồn tại."""", false)",Chrome 96.0.4664.45,,,2021-11-26 14:58:52,2021-11-26 14:58:52,"0,667s",FAILED
,,,,,,,
Test Cases/SP_Login_NoPass,Chrome 96.0.4664.45,,,2021-11-26 14:59:27,2021-11-26 14:59:33,"6,094s",FAILED
"openBrowser("""")",Chrome 96.0.4664.45,,,2021-11-26 14:59:27,2021-11-26 14:59:29,"2,439s",PASSED
"navigateToUrl(""https://online.hcmue.edu.vn/"")",Chrome 96.0.4664.45,,,2021-11-26 14:59:29,2021-11-26 14:59:30,"0,748s",PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/a_ng nhp""))",Chrome 96.0.4664.45,,,2021-11-26 14:59:30,2021-11-26 14:59:31,"0,728s",PASSED
"setText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Tn ng nhp_ctl00ContentPlaceHolder1ctl_537cb7""), ""44.01.104.211"")",Chrome 96.0.4664.45,,,2021-11-26 14:59:31,2021-11-26 14:59:31,"0,781s",PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_S lng truy cp_ctl00ContentPlaceHolder_02f130""))",Chrome 96.0.4664.45,,,2021-11-26 14:59:31,2021-11-26 14:59:32,"0,575s",PASSED
